country,city,african,anglo.saxon,celtic,east.asian,euro.otheastern,euro.othwestern,hispanic,japanese,jewish,muslim,nordic,south.asian,avg
DE,BERLIN,,,,,,,,,,0.37,,,0.37
UK,LEEDS,0.46,0.17,,0.30,0.22,0.22,0.19,,0.50,0.54,,0.35,0.33
UK,LONDON,0.42,0.23,,0.24,0.23,0.24,0.24,,0.48,0.35,0.32,0.48,0.32
UK,BIRMINGHAM,0.36,0.29,,0.29,0.14,0.17,0.18,,0.27,0.63,,0.45,0.31
ES,BARCELONA,,0.32,,,,0.31,0.29,,,,,,0.31
UK,SHEFFIELD,,0.19,,0.43,0.14,0.23,0.14,,,0.63,,0.32,0.30
UK,NEWCASTLE,,,,0.33,0.20,0.25,0.24,,,0.47,,0.26,0.29
UK,LIVERPOOL,0.49,,,0.24,0.24,0.15,0.19,,0.36,0.41,0.14,0.34,0.28
UK,GLASGOW,0.38,,,0.30,0.16,0.14,0.13,,0.30,0.50,0.27,0.37,0.28
UK,MANCHESTER,0.34,0.16,,0.30,0.20,0.19,0.18,,0.36,0.47,,0.33,0.28
BE,BRUSSELS,0.16,,0.19,0.17,,,0.13,0.42,0.20,0.27,0.30,0.12,0.22
BE,ANTWERPEN,,,0.14,,0.12,,0.20,,,0.43,0.17,,0.21
DE,HAMBURG,,,,,0.11,,,,,0.25,,,0.18
FR,PARIS,0.31,,,0.20,,,,0.23,,0.13,0.12,0.10,0.18
FR,LYON,0.18,,,0.12,,,,0.25,,0.15,,,0.18
DE,BREMEN,,,,,0.13,,,,,0.22,,,0.17
FR,MARSEILLE,0.24,,0.11,0.15,0.11,0.13,,,0.14,0.33,,,0.17
ES,VALENCIA,,,,,0.17,,,,,,,,0.17
DE,FRANKFURT,,,,,,,,,,0.17,,,0.17
AT,WIEN,0.11,,,,,,,0.34,,0.18,0.11,0.10,0.17
NL,AMSTERDAM,,0.15,,0.12,,,,,0.13,0.27,,,0.17
IT,ROMA,,0.16,,0.17,,,,,,,,,0.16
ES,MADRID,,,0.18,0.21,,0.15,,,,0.10,,,0.16
DK,COPENHAGEN,,,,,,,0.12,,,0.20,,,0.16
FR,TOULOUSE,0.17,,,0.14,,,,,0.10,0.22,0.16,,0.16
DE,STUTTGART,,,,,,,0.14,,,0.17,,,0.15
DE,HANNOVER,,,,,,,0.11,,,0.20,,,0.15
ES,SEVILLA,,,0.14,,,,,,,0.11,,,0.13
IT,NAPOLI,,,,,,,,,,,,0.10,0.10
